Outcomes

Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=3.0; kpi2=1.08622378682; y3=0.858979029458; best-so-far=0.858979029458
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=3.22222222222; kpi2=1.01937563242; y3=0.805500505938; best-so-far=0.805500505938
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=3.44444444444; kpi2=0.887831134785; y3=0.700264907828; best-so-far=0.700264907828
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=3.66666666667; kpi2=0.761227526139; y3=0.598982020911; best-so-far=0.598982020911
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=3.88888888889; kpi2=0.744183111326; y3=0.58534648906; best-so-far=0.58534648906
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=4.11111111111; kpi2=0.717457336951; y3=0.563965869561; best-so-far=0.563965869561
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=4.33333333333; kpi2=0.695939479325; y3=0.54675158346; best-so-far=0.54675158346
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=4.55555555556; kpi2=0.739126707549; y3=0.581301366039; best-so-far=0.54675158346
Feasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=4.77777777778; kpi2=0.743198884714; y3=0.584559107771; best-so-far=0.54675158346
Infeasible: ctr.T=0.05; ctr.ctr_min=2.0; ctr.ctr_max=5.0; kpi2=0.802168597509; y3=0.631734878007; best-so-far=0.54675158346
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.0; kpi2=0.988035101691; y3=0.780428081353; best-so-far=0.54675158346
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.22222222222; kpi2=0.877554329168; y3=0.692043463335; best-so-far=0.54675158346
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.44444444444; kpi2=0.795550082905; y3=0.626440066324; best-so-far=0.54675158346
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.66666666667; kpi2=0.677879210499; y3=0.532303368399; best-so-far=0.532303368399
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.88888888889; kpi2=0.616188397689; y3=0.482950718152; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.11111111111; kpi2=0.629980021996; y3=0.493984017597; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.33333333333; kpi2=0.629149185612; y3=0.493319348489; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.55555555556; kpi2=0.629019731193; y3=0.493215784954; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.77777777778; kpi2=0.70263632227; y3=0.552109057816; best-so-far=0.482950718152
Infeasible: ctr.T=0.05; ctr.ctr_min=2.22222222222; ctr.ctr_max=5.0; kpi2=0.735191222013; y3=0.578152977611; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.0; kpi2=0.893189950573; y3=0.704551960459; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.22222222222; kpi2=0.75714224569; y3=0.595713796552; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.44444444444; kpi2=0.66637925385; y3=0.52310340308; best-so-far=0.482950718152
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.66666666667; kpi2=0.59278930044; y3=0.464231440352; best-so-far=0.464231440352
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.88888888889; kpi2=0.528424288426; y3=0.412739430741; best-so-far=0.412739430741
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.11111111111; kpi2=0.507490636032; y3=0.395992508825; best-so-far=0.395992508825
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.33333333333; kpi2=0.573174119021; y3=0.448539295217; best-so-far=0.395992508825
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.55555555556; kpi2=0.576214619202; y3=0.450971695362; best-so-far=0.395992508825
Feasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.77777777778; kpi2=0.616659590435; y3=0.483327672348; best-so-far=0.395992508825
Infeasible: ctr.T=0.05; ctr.ctr_min=2.44444444444; ctr.ctr_max=5.0; kpi2=0.697645331832; y3=0.548116265466; best-so-far=0.395992508825
Feasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.0; kpi2=0.797276494033; y3=0.627821195226; best-so-far=0.395992508825
Feasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.22222222222; kpi2=0.668047592949; y3=0.524438074359; best-so-far=0.395992508825
Feasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.44444444444; kpi2=0.538000136597; y3=0.420400109277; best-so-far=0.395992508825
Feasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.66666666667; kpi2=0.469283639205; y3=0.365426911364; best-so-far=0.365426911364
Feasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.88888888889; kpi2=0.463060693519; y3=0.360448554815; best-so-far=0.360448554815
Feasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=4.11111111111; kpi2=0.431659592944; y3=0.335327674355; best-so-far=0.335327674355
