Outcomes

Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=3.5; kpi2=0.353212192237; y3=0.27256975379; best-so-far=0.27256975379
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=3.61111111111; kpi2=0.293663977984; y3=0.224931182388; best-so-far=0.224931182388
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=3.72222222222; kpi2=0.31197026787; y3=0.239576214296; best-so-far=0.224931182388
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=3.83333333333; kpi2=0.283607894144; y3=0.216886315315; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=3.94444444444; kpi2=0.300732846263; y3=0.230586277011; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=4.05555555556; kpi2=0.333119397398; y3=0.256495517918; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=4.16666666667; kpi2=0.356404985048; y3=0.275123988038; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=4.27777777778; kpi2=0.368532729874; y3=0.284826183899; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=4.38888888889; kpi2=0.38722190219; y3=0.299777521752; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.0; ctr.ctr_max=4.5; kpi2=0.422619195279; y3=0.328095356223; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.5; kpi2=0.314197555867; y3=0.241358044694; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.61111111111; kpi2=0.293663977984; y3=0.224931182388; best-so-far=0.216886315315
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.72222222222; kpi2=0.236724668545; y3=0.179379734836; best-so-far=0.179379734836
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.83333333333; kpi2=0.261707791891; y3=0.199366233512; best-so-far=0.179379734836
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.94444444444; kpi2=0.258641638289; y3=0.196913310631; best-so-far=0.179379734836
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.05555555556; kpi2=0.282848381964; y3=0.216278705572; best-so-far=0.179379734836
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.16666666667; kpi2=0.326498391716; y3=0.251198713373; best-so-far=0.179379734836
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.27777777778; kpi2=0.362559368295; y3=0.280047494636; best-so-far=0.179379734836
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.38888888889; kpi2=0.379222493301; y3=0.293377994641; best-so-far=0.179379734836
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.5; kpi2=0.4075790323; y3=0.31606322584; best-so-far=0.179379734836
